indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2012-09,Córdoba,Para Hoteles,7260546,
2012-09,Cuyo,1 y 2 estrellas,6937076,
2012-09,Cuyo,3 estrellas/boutiques/aparts,21978675,
2012-09,Cuyo,4 y 5 estrellas,65014702,
2012-09,Cuyo,Para Hoteles,4326579,
2012-09,Litoral,1 y 2 estrellas,7321983,
2012-09,Litoral,3 estrellas/boutiques/aparts,30513949,
2012-09,Litoral,4 y 5 estrellas,57820101,
2012-09,Litoral,Para Hoteles,9469844,
2012-09,Norte,1 y 2 estrellas,9442433,
2012-09,Norte,3 estrellas/boutiques/aparts,25600951,
2012-09,Norte,4 y 5 estrellas,40625220,
2012-09,Norte,Para Hoteles,8528416,
2012-09,Patagonia,1 y 2 estrellas,20131835,
2012-09,Patagonia,3 estrellas/boutiques/aparts,48021741,
2012-09,Patagonia,4 y 5 estrellas,63400885,
2012-09,Patagonia,Para Hoteles,18851459,
2012-10,Buenos Aires,1 y 2 estrellas,6662230,
2012-10,Buenos Aires,3 estrellas/boutiques/aparts,17234336,
2012-10,Buenos Aires,4 y 5 estrellas,22887556,
2012-10,Buenos Aires,Para Hoteles,19203690,
2012-10,CABA,1 y 2 estrellas,15672461,
2012-10,CABA,3 estrellas/boutiques/aparts,68778997,
2012-10,CABA,4 y 5 estrellas,227089371,
2012-10,CABA,Para Hoteles,10902219,
2012-10,Córdoba,1 y 2 estrellas,10423256,
2012-10,Córdoba,3 estrellas/boutiques/aparts,16821284,
2012-10,Córdoba,4 y 5 estrellas,14291007,
2012-10,Córdoba,Para Hoteles,11659120,
2012-10,Cuyo,1 y 2 estrellas,8662077,
2012-10,Cuyo,3 estrellas/boutiques/aparts,23900060,
2012-10,Cuyo,4 y 5 estrellas,63640597,
2012-10,Cuyo,Para Hoteles,5283595,
2012-10,Litoral,1 y 2 estrellas,8095172,
2012-10,Litoral,3 estrellas/boutiques/aparts,30490369,
2012-10,Litoral,4 y 5 estrellas,64327893,
2012-10,Litoral,Para Hoteles,11182183,
2012-10,Norte,1 y 2 estrellas,8234691,
2012-10,Norte,3 estrellas/boutiques/aparts,23822485,
2012-10,Norte,4 y 5 estrellas,43993334,
2012-10,Norte,Para Hoteles,7217333,
2012-10,Patagonia,1 y 2 estrellas,18648220,
2012-10,Patagonia,3 estrellas/boutiques/aparts,50946129,
2012-10,Patagonia,4 y 5 estrellas,54262031,
2012-10,Patagonia,Para Hoteles,17626203,
2012-11,Buenos Aires,1 y 2 estrellas,8820904,
2012-11,Buenos Aires,3 estrellas/boutiques/aparts,27711274,
2012-11,Buenos Aires,4 y 5 estrellas,32135438,
2012-11,Buenos Aires,Para Hoteles,24845207,
2012-11,CABA,1 y 2 estrellas,16355768,
2012-11,CABA,3 estrellas/boutiques/aparts,73405851,
2012-11,CABA,4 y 5 estrellas,253815248,
2012-11,CABA,Para Hoteles,11453875,
2012-11,Córdoba,1 y 2 estrellas,10791531,
2012-11,Córdoba,3 estrellas/boutiques/aparts,18126198,
2012-11,Córdoba,4 y 5 estrellas,15312717,
2012-11,Córdoba,Para Hoteles,8440980,
2012-11,Cuyo,1 y 2 estrellas,7485518,
2012-11,Cuyo,3 estrellas/boutiques/aparts,23799121,
2012-11,Cuyo,4 y 5 estrellas,61932437,
2012-11,Cuyo,Para Hoteles,5267812,
2012-11,Litoral,1 y 2 estrellas,9098903,
2012-11,Litoral,3 estrellas/boutiques/aparts,28818018,
2012-11,Litoral,4 y 5 estrellas,73768285,
2012-11,Litoral,Para Hoteles,10428318,
2012-11,Norte,1 y 2 estrellas,6760150,
2012-11,Norte,3 estrellas/boutiques/aparts,20694577,
2012-11,Norte,4 y 5 estrellas,40476560,
2012-11,Norte,Para Hoteles,7318675,
2012-11,Patagonia,1 y 2 estrellas,13701049,
2012-11,Patagonia,3 estrellas/boutiques/aparts,58387833,
2012-11,Patagonia,4 y 5 estrellas,71598343,
2012-11,Patagonia,Para Hoteles,21738480,
2012-12,Buenos Aires,1 y 2 estrellas,11174009,
2012-12,Buenos Aires,3 estrellas/boutiques/aparts,35350359,
2012-12,Buenos Aires,4 y 5 estrellas,35438995,
2012-12,Buenos Aires,Para Hoteles,31920071,
2012-12,CABA,1 y 2 estrellas,12597169,
2012-12,CABA,3 estrellas/boutiques/aparts,62620946,
2012-12,CABA,4 y 5 estrellas,226361906,
2012-12,CABA,Para Hoteles,11682172,
2012-12,Córdoba,1 y 2 estrellas,10284457,
2012-12,Córdoba,3 estrellas/boutiques/aparts,18211054,
2012-12,Córdoba,4 y 5 estrellas,14840597,
2012-12,Córdoba,Para Hoteles,10585815,
2012-12,Cuyo,1 y 2 estrellas,6441499,
2012-12,Cuyo,3 estrellas/boutiques/aparts,20671166,
2012-12,Cuyo,4 y 5 estrellas,50013715,
2012-12,Cuyo,Para Hoteles,4858979,
2012-12,Litoral,1 y 2 estrellas,8936238,
2012-12,Litoral,3 estrellas/boutiques/aparts,26432054,
2012-12,Litoral,4 y 5 estrellas,55914851,
2012-12,Litoral,Para Hoteles,9993857,
2012-12,Norte,1 y 2 estrellas,4730824,
2012-12,Norte,3 estrellas/boutiques/aparts,11629311,
2012-12,Norte,4 y 5 estrellas,28223701,
2012-12,Norte,Para Hoteles,5809132,
2012-12,Patagonia,1 y 2 estrellas,18959963,
2012-12,Patagonia,3 estrellas/boutiques/aparts,49510724,
2012-12,Patagonia,4 y 5 estrellas,65465435,
2012-12,Patagonia,Para Hoteles,27728825,
2013-01,Buenos Aires,1 y 2 estrellas,49329717,
2013-01,Buenos Aires,3 estrellas/boutiques/aparts,94226699,
2013-01,Buenos Aires,4 y 5 estrellas,82354613,
2013-01,Buenos Aires,Para Hoteles,98142719,
2013-01,CABA,1 y 2 estrellas,11032482,
2013-01,CABA,3 estrellas/boutiques/aparts,50079525,
2013-01,CABA,4 y 5 estrellas,164964077,
2013-01,CABA,Para Hoteles,10789772,
2013-01,Córdoba,1 y 2 estrellas,32788751,
2013-01,Córdoba,3 estrellas/boutiques/aparts,40703171,
2013-01,Córdoba,4 y 5 estrellas,17724634,
2013-01,Córdoba,Para Hoteles,69633846,
2013-01,Cuyo,1 y 2 estrellas,9722770,
2013-01,Cuyo,3 estrellas/boutiques/aparts,34592848,
2013-01,Cuyo,4 y 5 estrellas,86395562,
2013-01,Cuyo,Para Hoteles,8460422,
2013-01,Litoral,1 y 2 estrellas,10955541,
2013-01,Litoral,3 estrellas/boutiques/aparts,28610363,
2013-01,Litoral,4 y 5 estrellas,55079319,
2013-01,Litoral,Para Hoteles,20161404,
2013-01,Norte,1 y 2 estrellas,7252372,
2013-01,Norte,3 estrellas/boutiques/aparts,29074356,
2013-01,Norte,4 y 5 estrellas,29321627,
2013-01,Norte,Para Hoteles,12387591,
2013-01,Patagonia,1 y 2 estrellas,33048950,
2013-01,Patagonia,3 estrellas/boutiques/aparts,78830930,
2013-01,Patagonia,4 y 5 estrellas,91023387,
2013-01,Patagonia,Para Hoteles,63504965,
2013-02,Buenos Aires,1 y 2 estrellas,36839232,
2013-02,Buenos Aires,3 estrellas/boutiques/aparts,67460773,
2013-02,Buenos Aires,4 y 5 estrellas,56645187,
2013-02,Buenos Aires,Para Hoteles,71258113,
2013-02,CABA,1 y 2 estrellas,11142223,
2013-02,CABA,3 estrellas/boutiques/aparts,49177562,
2013-02,CABA,4 y 5 estrellas,172525741,
2013-02,CABA,Para Hoteles,12930738,
2013-02,Córdoba,1 y 2 estrellas,26376164,
2013-02,Córdoba,3 estrellas/boutiques/aparts,35189053,
2013-02,Córdoba,4 y 5 estrellas,16678717,
2013-02,Córdoba,Para Hoteles,48662535,
2013-02,Cuyo,1 y 2 estrellas,8128965,
2013-02,Cuyo,3 estrellas/boutiques/aparts,27523537,
2013-02,Cuyo,4 y 5 estrellas,55793056,
2013-02,Cuyo,Para Hoteles,7136741,
2013-02,Litoral,1 y 2 estrellas,11270968,
2013-02,Litoral,3 estrellas/boutiques/aparts,25681365,
2013-02,Litoral,4 y 5 estrellas,52797387,
2013-02,Litoral,Para Hoteles,19883310,
2013-02,Norte,1 y 2 estrellas,6515943,
2013-02,Norte,3 estrellas/boutiques/aparts,27078408,
2013-02,Norte,4 y 5 estrellas,26607818,
2013-02,Norte,Para Hoteles,10316773,
2013-02,Patagonia,1 y 2 estrellas,24880395,
2013-02,Patagonia,3 estrellas/boutiques/aparts,60575065,
2013-02,Patagonia,4 y 5 estrellas,74908812,
2013-02,Patagonia,Para Hoteles,46682650,
2013-03,Buenos Aires,1 y 2 estrellas,16922427,
2013-03,Buenos Aires,3 estrellas/boutiques/aparts,32303217,
2013-03,Buenos Aires,4 y 5 estrellas,36477841,
2013-03,Buenos Aires,Para Hoteles,34271671,
2013-03,CABA,1 y 2 estrellas,14582736,
2013-03,CABA,3 estrellas/boutiques/aparts,63261828,
2013-03,CABA,4 y 5 estrellas,223702467,
2013-03,CABA,Para Hoteles,13613233,
2013-03,Córdoba,1 y 2 estrellas,13945937,
2013-03,Córdoba,3 estrellas/boutiques/aparts,25748156,
2013-03,Córdoba,4 y 5 estrellas,14603859,
2013-03,Córdoba,Para Hoteles,28558398,
2013-03,Cuyo,1 y 2 estrellas,9671132,
2013-03,Cuyo,3 estrellas/boutiques/aparts,30387822,
2013-03,Cuyo,4 y 5 estrellas,72096411,
2013-03,Cuyo,Para Hoteles,5341436,
2013-03,Litoral,1 y 2 estrellas,7965336,
2013-03,Litoral,3 estrellas/boutiques/aparts,27729305,
2013-03,Litoral,4 y 5 estrellas,68485833,
2013-03,Litoral,Para Hoteles,11288597,
2013-03,Norte,1 y 2 estrellas,7781947,
2013-03,Norte,3 estrellas/boutiques/aparts,36959165,
2013-03,Norte,4 y 5 estrellas,52041748,
2013-03,Norte,Para Hoteles,10268650,
