indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-08,Buenos Aires,Para Hoteles,2938,
2012-08,CABA,1 y 2 estrellas,996,
2012-08,CABA,3 estrellas/boutiques/aparts,3826,
2012-08,CABA,4 y 5 estrellas,8422,
2012-08,CABA,Para Hoteles,1552,
2012-08,Córdoba,1 y 2 estrellas,1062,
2012-08,Córdoba,3 estrellas/boutiques/aparts,1335,
2012-08,Córdoba,4 y 5 estrellas,855,
2012-08,Córdoba,Para Hoteles,1322,
2012-08,Cuyo,1 y 2 estrellas,957,
2012-08,Cuyo,3 estrellas/boutiques/aparts,1860,
2012-08,Cuyo,4 y 5 estrellas,2809,
2012-08,Cuyo,Para Hoteles,844,
2012-08,Litoral,1 y 2 estrellas,823,
2012-08,Litoral,3 estrellas/boutiques/aparts,1956,
2012-08,Litoral,4 y 5 estrellas,3342,
2012-08,Litoral,Para Hoteles,1356,
2012-08,Norte,1 y 2 estrellas,1211,
2012-08,Norte,3 estrellas/boutiques/aparts,1985,
2012-08,Norte,4 y 5 estrellas,1575,
2012-08,Norte,Para Hoteles,1394,
2012-08,Patagonia,1 y 2 estrellas,2033,
2012-08,Patagonia,3 estrellas/boutiques/aparts,2616,
2012-08,Patagonia,4 y 5 estrellas,2865,
2012-08,Patagonia,Para Hoteles,2105,
2012-09,Buenos Aires,1 y 2 estrellas,991,
2012-09,Buenos Aires,3 estrellas/boutiques/aparts,1837,
2012-09,Buenos Aires,4 y 5 estrellas,1405,
2012-09,Buenos Aires,Para Hoteles,2492,
2012-09,CABA,1 y 2 estrellas,992,
2012-09,CABA,3 estrellas/boutiques/aparts,3901,
2012-09,CABA,4 y 5 estrellas,8327,
2012-09,CABA,Para Hoteles,1531,
2012-09,Córdoba,1 y 2 estrellas,1190,
2012-09,Córdoba,3 estrellas/boutiques/aparts,1357,
2012-09,Córdoba,4 y 5 estrellas,863,
2012-09,Córdoba,Para Hoteles,1374,
2012-09,Cuyo,1 y 2 estrellas,954,
2012-09,Cuyo,3 estrellas/boutiques/aparts,1891,
2012-09,Cuyo,4 y 5 estrellas,2669,
2012-09,Cuyo,Para Hoteles,875,
2012-09,Litoral,1 y 2 estrellas,895,
2012-09,Litoral,3 estrellas/boutiques/aparts,1902,
2012-09,Litoral,4 y 5 estrellas,3196,
2012-09,Litoral,Para Hoteles,1302,
2012-09,Norte,1 y 2 estrellas,1109,
2012-09,Norte,3 estrellas/boutiques/aparts,1999,
2012-09,Norte,4 y 5 estrellas,1615,
2012-09,Norte,Para Hoteles,1358,
2012-09,Patagonia,1 y 2 estrellas,2001,
2012-09,Patagonia,3 estrellas/boutiques/aparts,2530,
2012-09,Patagonia,4 y 5 estrellas,3008,
2012-09,Patagonia,Para Hoteles,2134,
2012-10,Buenos Aires,1 y 2 estrellas,1078,
2012-10,Buenos Aires,3 estrellas/boutiques/aparts,1804,
2012-10,Buenos Aires,4 y 5 estrellas,1523,
2012-10,Buenos Aires,Para Hoteles,2752,
2012-10,CABA,1 y 2 estrellas,985,
2012-10,CABA,3 estrellas/boutiques/aparts,3850,
2012-10,CABA,4 y 5 estrellas,8385,
2012-10,CABA,Para Hoteles,1488,
2012-10,Córdoba,1 y 2 estrellas,1208,
2012-10,Córdoba,3 estrellas/boutiques/aparts,1404,
